Property name,Address,City,State,Zillow link,Rent,Beds,Baths,Furnished status,Lease term,Restrictions,Hospital / demand driver name,Distance or drive time to hospital,AirDNA projected annual revenue,Contact name,Phone,Email,Website,Verification status,Lead status,Notes,Last updated
Westhampton Court,2125 Defoors Ferry Rd NW,Atlanta,GA,https://www.zillow.com/,1050,1,1,Unknown,6+ months,None,Piedmont Atlanta Hospital,12 min,26400,Leasing Office,(404) 555-0101,leasing@example.com,https://example.com,AirDNA Verified,New,Known early keeper economics; furnished still needs call verification,2026-05-14
Peachtree Furnished Flats,1000 Peachtree St NE,Atlanta,GA,https://www.zillow.com/,1180,1,1,Furnished,6 months,None,Emory University Hospital Midtown,8 min,30400,Maria Leasing,(404) 555-0110,maria@example.com,https://example.com,Verified,New,Strong call-first sample,2026-05-14
Riverbend Senior Villas,44 Riverbend Dr,Birmingham,AL,https://www.zillow.com/,995,1,1,Unknown,12 months,55+ senior only,UAB Hospital,10 min,27800,Office,(205) 555-0102,office@example.com,https://example.com,Needs Zillow Verification,New,Rejected because senior-only,2026-05-14
Columbia Medical Lofts,901 Assembly St,Columbia,SC,https://www.zillow.com/,1325,1,1,Unknown,Unknown,None,Prisma Health Richland,14 min,25200,,(803) 555-0112,,https://example.com,Needs Contact Info,New,Good economics but missing furnished/lease/contact detail,2026-05-14
Baton Rouge Garden,77 Garden Ln,Baton Rouge,LA,https://www.zillow.com/,1450,1,1,Furnished,6 months,None,Baton Rouge General,11 min,33000,Leasing,(225) 555-0199,,https://example.com,Verified,New,Rent exceeds cap,2026-05-14
Studio Near Hospital,12 Market St,Atlanta,GA,https://www.zillow.com/,900,0,1,Furnished,6 months,None,Grady Memorial,6 min,26000,Office,(404) 555-0195,,,Verified,New,Studio disqualifier,2026-05-14
Oakwood Maybe,305 Oakwood Ave,Montgomery,AL,https://www.zillow.com/,1100,1,1,Unclear,Unknown,None,Baptist Medical Center South,18 min,25000,,,,,Needs AirDNA,New,Distance and AirDNA verification concern,2026-05-14
Midtown Nurse Landing,80 12th St NE,Atlanta,GA,https://www.zillow.com/,1240,1,1,Furnished,6-12 months,None,Northside Midtown,9 min,31800,Nina,(404) 555-0122,nina@example.com,,Verified,New,Excellent operator lead,2026-05-14
Cahaba Commons,201 Cahaba Rd,Birmingham,AL,https://www.zillow.com/,1195,1,1,Unknown,12 months,None,Brookwood Baptist Medical Center,13 min,27200,,,,,Needs Contact Info,New,Call to confirm furnished package,2026-05-14
Prisma Southline,620 Harden St,Columbia,SC,https://www.zillow.com/,990,1,1,Unfurnished,12 months,None,Prisma Health Baptist,7 min,21000,Leasing,(803) 555-0144,,,Needs AirDNA,New,Economics weak but possible with better AirDNA,2026-05-14
Student Lofts Downtown,15 College Ave,Athens,GA,https://www.zillow.com/,1000,1,1,Furnished,Academic year,student-only,Piedmont Athens Regional,6 min,28600,Office,(706) 555-0199,,,Verified,New,Student-only restriction,2026-05-14
Gulf Coast Corporate Flat,19 Mobile St,Mobile,AL,https://www.zillow.com/,1300,1,1,Furnished,6 months,None,USA Health University Hospital,10 min,30200,Tara,(251) 555-0188,tara@example.com,,Verified,New,High quality B/A border,2026-05-14
Northside Value Apt,410 Glenridge Dr,Atlanta,GA,https://www.zillow.com/,875,1,1,Unknown,Unknown,None,Northside Hospital Atlanta,16 min,24400,,,,,Needs Zillow Verification,New,Cheap rent but demand/lease unverified,2026-05-14
Income Restricted Tower,2 Civic Center Pl,Birmingham,AL,https://www.zillow.com/,800,1,1,Unknown,12 months,income-restricted,UAB Hospital,5 min,25000,Office,(205) 555-0177,,,Needs Zillow Verification,New,Fails restriction,2026-05-14
Lakeside Executive 1BR,88 Lake Dr,Baton Rouge,LA,https://www.zillow.com/,1395,1,1,Furnished,30+ day corporate allowed,None,Our Lady of the Lake Regional,9 min,33600,Dana,(225) 555-0133,dana@example.com,https://example.com,AirDNA Verified,New,Great top-end lead,2026-05-14
