Zillow URL,Status,Address,City,State,Zillow Rent,Beds,Baths,Furnished Evidence,55+?,Lease Term Evidence,Hospital <=15 min?,AirDNA Monthly Revenue,Net After Rent + $100,Contact / PM,Next Action,Last Checked,Evidence / Notes,Investor View,
https://www.zillow.com/apartments/atlanta-ga/centennial-place/Ch2fvF/,KEEP — Zillow/AirDNA pass,526 Centennial Olympic Park Dr,Atlanta,GA,"$1,216",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,lease term provided for each unit.Cost calculator; Lease terms; 063Month,Likely <=15 min to major Atlanta hospital cluster; map verify exact drive,"$3,517","$2,201",Centennial Place | Phone: (470) 671-7232 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: Mon - Fri:9 am - 6 pm Sat:10 am - 4 pm Sun:Closed Phone number(470) 671-7232 Ask a question,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $42.2K; monthly $3,517; rent $1,087; net $2,330; occupancy 75%; ADR $155; comp strength Medium. https://app.airdna.co/data/rentalizer?address=526%20Centennial%20Olympic%20Park%20Dr%2C%20Atlanta%2C%20GA%2030313%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,216; furnished mention=False. | Contact audit: Centennial Place | Phone: (470) 671-7232 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: Mon - Fri:9 am - 6 pm Sat:10 am - 4 pm Sun:Closed Phone number(470) 671-7232 Ask a question | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: Centennial Place | Phone: (470) 671-7232 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: Mon - Fri:9 am - 6 pm Sat:10 am - 4 pm Sun:Closed Phone number(470) 671-7232 Ask a question | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",What this tab is,"Market-specific source leads filtered for 1BR/1BA, rent cap, projected revenue, hospital-demand proximity, and call-first verification."
https://www.zillow.com/apartments/sandy-springs-ga/southern-trace-apartments/5XkJ85/,KEEP — Zillow/AirDNA pass,5320 Roswell Rd,Sandy Springs,GA,"$1,350",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,[Skip main navigation](https://www.zillow.com/apartments/sandy-springs-ga/southern-trace-apartments/5XkJ85/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://,Possible <=15 min to Northside / Emory / Wellstar; map verify exact drive,"$3,167","$1,717",Southern Trace Apartments | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 4 pm | | Sat: | Closed | | Sun: | Closed |,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $38K; monthly $3,167; rent $1,350; net $1,717; occupancy 79%; ADR $132; comp strength High. https://app.airdna.co/data/rentalizer?address=5320%20Roswell%20Rd%2C%20Sandy%20Springs%2C%20GA%2030342%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,350; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,350; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,350; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,350; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,350; furnished mention=False. | Contact audit: Southern Trace Apartments | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 4 pm | | Sat: | Closed | | Sun: | Closed | | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: Southern Trace Apartments | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 4 pm | | Sat: | Closed | | Sun: | Closed | | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",How to use,"Sort/review by Net After Rent + $100, then call to verify furnished/corporate lease availability before treating a row as investment-ready."
https://www.zillow.com/apartments/augusta-ga/bradford-pointe/5XhtPh/,KEEP — Zillow/AirDNA pass,100 Sterling Ridge Dr,Augusta,GA,$860,1,1,Not publicly advertised as furnished / call to verify,No evidence,[Skip main navigation](https://www.zillow.com/apartments/augusta-ga/bradford-pointe/5XhtPh/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) - [Jo,Targeted market: Augusta; hospital demand: Piedmont Augusta / Augusta University Medical Center; map verify <=15 min,"$2,542","$1,582",Your new home is only a call away!Bradford Pointe's location allows you to lead the lifestyle you have always envisioned. Show more ##### 3D tour [Skip to the end of the carousel](https://www.zillow.com/apartments/augusta-ga/bradford-pointe/5XhtPh/#) - ![Bradford Pointe Apartments](https://photos.zillowstatic.com/fp/334810b0c88dc06aa0a401a191dffddc-cc_ft_384.webp) Bradford Pointe Apartments [Skip to the beginning of the carousel](https://www.zillow.com/apartments/augusta-ga/bradford-pointe/5XhtP,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; economics pass.",2026-04-28,"[Skip main navigation](https://www.zillow.com/apartments/augusta-ga/bradford-pointe/5XhtPh/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) - [Join](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) [Homepage](https://www.zillow.com/ ""Zillow Real Estate"") - [Buy](https://www.zillow.com/homes/for | AirDNA annual projected revenue $30.5K; monthly $2,542; rent $860; net $1,582; occupancy 65%; ADR $127; comp strength High. https://app.airdna.co/data/rentalizer?address=100%20Sterling%20Ridge%20Dr%2C%20Augusta%2C%20GA%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2",Do not overclaim,"These are ranked candidates, not signed deals. Availability, all-in rent, furnished package, and lease terms must be verified by phone."
https://www.zillow.com/apartments/savannah-ga/maa-benton/5XnqFD/,KEEP — Zillow/AirDNA pass,1475 Benton Blvd,Savannah,GA,"$1,288",1,1,Not publicly advertised as furnished / call to verify,No evidence,[Skip main navigation](https://www.zillow.com/apartments/savannah-ga/maa-benton/5XnqFD/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) - [Join](,Targeted market: Savannah; hospital demand: Memorial Health / St Josephs Candler; map verify <=15 min,"$2,950","$1,562",Please contact the appropriate leasing office with any questions. ###### Pet amenities Pet Park Apply with your pet ### Special Features - Close To Public Transportation - Community-wide Wi Fi: Community Wifi - Lake Front - No Breed Restrictions - On Site Property Manager - Picnic/bbq Area - Planned Social Events - Self Car Wash - Wifi Hotspot - Yard #### Neighborhood: Godley Station ### Areas of interest Use our interactive map to explore the neighborhood and see how it matches your interests. ,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; economics pass.",2026-04-28,"[Skip main navigation](https://www.zillow.com/apartments/savannah-ga/maa-benton/5XnqFD/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) - [Join](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) [Homepage](https://www.zillow.com/ ""Zillow Real Estate"") - [Buy](https://www.zillow.com/homes/for_sal | AirDNA annual projected revenue $35.4K; monthly $2,950; rent $1,288; net $1,562; occupancy 75%; ADR $129; comp strength Medium. https://app.airdna.co/data/rentalizer?address=1475%20Benton%20Blvd%2C%20Savannah%2C%20GA%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2",Pitch line,The sheet is the operator view; the product is a repeatable lead engine for investors.
https://www.zillow.com/apartments/atlanta-ga/waterford-place/Cm4Mkb/,KEEP — Zillow/AirDNA pass,295 E Belle Isle Rd NE,Atlanta,GA,"$1,022",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,lease term provided for each unit.Cost calculator; Lease terms; 548Month,Likely <=15 min to major Atlanta hospital cluster; map verify exact drive,"$2,675","$1,553",Waterford Place | Phone: (706) 916-7559 | Website/contact: https://www.zillow.com/c/info/contact-us/ | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 8 am - 5 pm | | Sat: | Closed | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Leasing Agent - Wes,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $32.1K; monthly $2,675; rent $1,022; net $1,553; occupancy 66%; ADR $133; comp strength Medium. https://app.airdna.co/data/rentalizer?address=295%20E%20Belle%20Isle%20Rd%20NE%2C%20Atlanta%2C%20GA%2030342%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,022; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,022; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,022; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,022; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,022; furnished mention=False. | Contact audit: Waterford Place | Phone: (706) 916-7559 | Website/contact: https://www.zillow.com/c/info/contact-us/ | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 8 am - 5 pm | | Sat: | Closed | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Leasing Agent - Wes | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: Waterford Place | Phone: (706) 916-7559 | Website/contact: https://www.zillow.com/c/info/contact-us/ | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 8 am - 5 pm | | Sat: | Closed | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Leasing Agent - Wes | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",,
https://www.zillow.com/apartments/sandy-springs-ga/aqua-at-sandy-springs/5XhtT4/,KEEP — Zillow/AirDNA pass,100 Greyfield Ln,Sandy Springs,GA,"$1,248",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,lease term provided for each unit.; Lease terms; 807Month,Possible <=15 min to Northside / Emory / Wellstar; map verify exact drive,"$2,775","$1,427",Aqua at Sandy Springs | Phone: (470) 458-9690 | Website/contact: https://www.zillow.com/c/info/contact-us/ | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 6 pm | | Sat: | 10 am - 5 pm | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Greystar - Gr,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $33.3K; monthly $2,775; rent $725; net $1,950; occupancy 64%; ADR $142; comp strength Medium. https://app.airdna.co/data/rentalizer?address=100%20Greyfield%20Ln%2C%20Sandy%20Springs%2C%20GA%2030350%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,248; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,248; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,248; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,248; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,248; furnished mention=False. | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: Aqua at Sandy Springs | Phone: (470) 458-9690 | Website/contact: https://www.zillow.com/c/info/contact-us/ | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 6 pm | | Sat: | 10 am - 5 pm | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Greystar - Gr | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",,
https://www.zillow.com/apartments/atlanta-ga/the-stratford/5Xhtwj/,KEEP — Zillow/AirDNA pass,5479 Glenridge Dr,Atlanta,GA,"$1,283",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,lease term provided for each unit.Cost calculator; 804Month,Likely <=15 min to major Atlanta hospital cluster; map verify exact drive,"$2,750","$1,367",The Stratford | Phone: (404) 495-8505 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 5:30 pm | | Sat: | 10 am - 5 pm | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Leasing Ag,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $33K; monthly $2,750; rent $999; net $1,651; occupancy 79%; ADR $114; comp strength Medium. https://app.airdna.co/data/rentalizer?address=5479%20Glenridge%20Dr%2C%20Atlanta%2C%20GA%2030342%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,283; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,283; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,283; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,283; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,283; furnished mention=False. | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: The Stratford | Phone: (404) 495-8505 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: | Day | Open hours | | --- | --- | | Mon - Fri: | 9 am - 5:30 pm | | Sat: | 10 am - 5 pm | | Sun: | Closed | Listed by management company Avatar/MDCreated with Sketch. - Leasing Ag | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",,
https://www.zillow.com/apartments/savannah-ga/capital-crest-at-godley-station/ChWCMQ/,KEEP — Zillow/AirDNA pass,1565 Benton Blvd,Savannah,GA,"$1,381",1,1,Not publicly advertised as furnished / call to verify,No evidence,[Skip main navigation](https://www.zillow.com/apartments/savannah-ga/capital-crest-at-godley-station/ChWCMQ/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_po,Targeted market: Savannah; hospital demand: Memorial Health / St Josephs Candler; map verify <=15 min,"$2,817","$1,336","Show more ## Property map Tap on any highlighted unit to view details on availability and pricing Floor: 1 Bed: All Use ctrl + scroll to zoom the map Increase zoomDecrease zoom ## Facts, features & policies ### Building Amenities ##### Accessibility - Disabled Access ##### Community Rooms - Club House ##### Other - Swimming Pool: Pool View ##### Outdoor common areas - Garden: Garden Tub Or Walk In Shower ##### Security - Gated Entry: Access Gate ##### Services & facilities - Pet Park: Bark Park ","CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; economics pass.",2026-04-28,"[Skip main navigation](https://www.zillow.com/apartments/savannah-ga/capital-crest-at-godley-station/ChWCMQ/#skip-topnav-target) [![Zillow logo](https://www.zillowstatic.com/s3/pfs/static/z-logo-default.svg)](https://www.zillow.com/) - [Sign inSign in](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) - [Join](https://www.zillow.com/auth/user/login?login_mode=redirect&entry_point=topnav) [Homepage](https://www.zillow.com/ ""Zillow Real Estate"") - [Buy](https://www.zil | AirDNA annual projected revenue $33.8K; monthly $2,817; rent $1,381; net $1,336; occupancy 72%; ADR $128; comp strength Medium. https://app.airdna.co/data/rentalizer?address=1565%20Benton%20Blvd%2C%20Savannah%2C%20GA%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2",,
https://www.zillow.com/apartments/atlanta-ga/maa-chastain/5XhtpQ/,KEEP — Zillow/AirDNA pass,4090 Roswell Rd NE,Atlanta,GA,"$1,380",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,180Month,Likely <=15 min to major Atlanta hospital cluster; map verify exact drive,"$2,783","$1,303",MAA Chastain | Phone: (770) 343-4217 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $33.4K; monthly $2,783; rent $1,320; net $1,363; occupancy 56%; ADR $163; comp strength Medium. https://app.airdna.co/data/rentalizer?address=4090%20Roswell%20Rd%20NE%2C%20Atlanta%2C%20GA%2030342%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,380; furnished mention=False. | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: MAA Chastain | Phone: (770) 343-4217 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",,
https://www.zillow.com/apartments/atlanta-ga/porter-westside/5ZFjqj/,KEEP — Zillow/AirDNA pass,820 W Marietta St NW,Atlanta,GA,"$1,298",1,1,Not publicly advertised as furnished / browser QA inconclusive,No evidence,lease term provided for each unit.Cost calculator; 664Month,Likely <=15 min to major Atlanta hospital cluster; map verify exact drive,"$2,700","$1,302",Porter Westside | Phone: (470) 613-7474 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: Mon:9:30 am - 6 pm Tue:9:30 am - 6 pm Wed:9:30 am - 7 pm Thu:9:30 am - 6 pm Fri:9:30 am - 6 pm Sat:9 am - 6 pm Sun:11 am - 4 pm Phone number(470) 613-7474 Ask a question,"CALL TO VERIFY: ask if furnished 1-bedroom, furniture package, or corporate/30+ day lease is available; browser did not prove it online.",2026-04-28,"AirDNA annual projected revenue $32.4K; monthly $2,700; rent $1,210; net $1,390; occupancy 52%; ADR $170; comp strength Medium. https://app.airdna.co/data/rentalizer?address=820%20W%20Marietta%20St%20NW%2C%20Atlanta%2C%20GA%2030318%2C%20USA&bedrooms=1&bathrooms=1&accommodates=2 | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | Zillow audit: cheapest current 1-bed available unit $1,298; furnished mention=False. | QA PASS: 1bd/1ba, rent <= $1,400, net > $1,000, sorted by Column N. | Contact: Porter Westside | Phone: (470) 613-7474 | Website/contact: https://www.zillow.com/renter-hub/clickRedirect | Office: Mon:9:30 am - 6 pm Tue:9:30 am - 6 pm Wed:9:30 am - 7 pm Thu:9:30 am - 6 pm Fri:9:30 am - 6 pm Sat:9 am - 6 pm Sun:11 am - 4 pm Phone number(470) 613-7474 Ask a question | Browser furnished QA FAIL: Zillow + property website had no furnished/corporate/furniture-package evidence | Restored: not removed; furnished status should be treated as call-to-verify unless explicitly browser verified.",,
